EPOCHS_TMIN,EPOCHS_LENGTH,EPOCHS_EMPTY_FROM_MVT_TMINS,FMIN,FMAX,CLASSIFIER,RANDOM_STATE,N_SPLIT,NUMBER_OF_SESSIONS,score_A,score_B,score_C,score_X,duration,memory
-0.75,1.7,-6,1,30,SVC,42,4,89,0.84941005016155,0.8314311790925317,0.7361732197500438,0.8441690200950975,798.2689220905304,2718.33203125
-0.75,1.7,-6,9,30,SVC,42,4,89,0.8552411374043759,0.8401883705530611,0.7577939609325873,0.8556511364308237,1664.1434330940249,2659.33203125
-0.75,1.7,-6,7,35,SVC,42,4,89,0.8597972372213897,0.838898705792477,0.7405003347081607,0.8534396519449496,786.0309052467346,2641.34375
-0.75,1.7,-6,5,40,SVC,42,4,89,0.8570348166039176,0.8330436074191125,0.735727949174033,0.8493428005045982,802.321605682373,2686.6171875
-0.75,1.7,-6,3,45,SVC,42,4,89,0.843340891574215,0.8221959126399271,0.7262014363007827,0.8421896616410616,832.6878221035004,2601.13671875
-0.75,1.7,-6,1,50,SVC,42,4,89,0.835720073904783,0.8090679672035033,0.7115276553970951,0.8345565327974369,805.8398871421814,2623.58984375
-0.75,1.7,-6,9,50,SVC,42,4,89,0.8436869193880587,0.8192861974917099,0.7388730297791987,0.8407573245061492,809.2686262130737,2675.3203125
-0.75,1.7,-6,7,55,SVC,42,4,89,0.8430953894158421,0.818978934822892,0.7330433569721024,0.8348812125863647,820.9263660907745,2461.65234375
-0.75,1.7,-6,5,60,SVC,42,4,89,0.8363421909270579,0.8103716833434198,0.7150998583654561,0.8305448404305393,800.1146152019501,2698.97265625
-0.75,1.7,-6,3,65,SVC,42,4,89,0.8346451801587925,0.8000056006514038,0.7046709950706403,0.8302241973575908,806.0623848438263,2706.8671875
-0.75,1.7,-6,1,70,SVC,42,4,89,0.8331283870416942,0.8014712446810663,0.7022791716437402,0.8280203518218886,831.9152224063873,2681.49609375
-0.75,1.7,-6,9,70,SVC,42,4,89,0.8381921640738136,0.8110323265483138,0.7322409247928359,0.8364243414942066,735.6323659420013,2606.94140625
-0.75,1.7,-6,7,75,SVC,42,4,89,0.8417156498378843,0.8071701995604645,0.7295194164309142,0.8340251023542368,726.4178140163422,2704.1171875
-0.75,1.7,-6,2,30,SVC,42,4,89,0.8491702777409877,0.8314301290359127,0.7354983812878403,0.8444680631572985,781.7141704559326,2606.12109375
-0.75,1.7,-6,0,35,SVC,42,4,89,0.8517464199127092,0.8306310148143066,0.7314699087446332,0.8468251602914629,781.9379553794861,2607.05859375
-0.75,1.7,-6,8,35,SVC,42,4,89,0.8574769732790956,0.8361429393281301,0.7447337174658726,0.8577344007908972,788.197135925293,2708.26171875
-0.75,1.7,-6,6,40,SVC,42,4,89,0.8597857001846018,0.8346764133945411,0.7327641517865009,0.8545288092030232,792.7946438789368,2617.4453125
-0.75,1.7,-6,4,45,SVC,42,4,89,0.8443826580062022,0.821223562910621,0.7299353796883109,0.8413171758655036,794.8376216888428,2666.84765625
-0.75,1.7,-6,2,50,SVC,42,4,89,0.835720073904783,0.8085815809711738,0.7115276553970951,0.8345565327974369,800.5402698516846,2637.1796875
-0.75,1.7,-6,0,55,SVC,42,4,89,0.8353883742815571,0.805674817625316,0.7090920208210584,0.8333277800366841,805.8289847373962,2739.546875
-0.75,1.7,-6,8,55,SVC,42,4,89,0.8371084084034981,0.8145951605699153,0.7347895130875468,0.8352307294053374,799.1112565994263,2659.01953125
-0.75,1.7,-6,6,60,SVC,42,4,89,0.8409875917604996,0.813307183076076,0.7214423606269464,0.8308251219050107,812.7316110134125,2745.62890625
-0.75,1.7,-6,4,65,SVC,42,4,89,0.8361791384778506,0.8014638974941806,0.7108296494105446,0.8324069204223568,807.1725623607635,2689.765625
